house_id,device_id,gas_meter_id,lat,long,hours_of_sunlight_per_year,sq_ft_available_for_solar_panels
46ae5a1b,31042228,54460444.0,42.20575446,-72.62600395,1276,1075
de7f50e2,29995151,,42.247624,-72.631109,0,0
de7f50e2,29619352,,42.247624,-72.631109,0,0
de7f50e2,56107409,,42.247624,-72.631109,0,0
a3e15b7e,31802150,90953483.0,42.22869703,-72.63478379,1197,2731
1794e678,31803234,92337957.0,42.22823125,-72.63452145,1385,3541
7b0d0013,83770148,,42.2142893,-72.66986355,1186,0
2215832d,83770147,40488448.0,42.2140463,-72.67040655,1262,1903
5017980a,83771915,90971716.0,42.19506375,-72.6242395,1376,5885
c8300564,31045092,33419477.0,42.18121745,-72.6437211,1437,1163
69f65c33,31809123,40474530.0,42.18159775,-72.64302015,1381,2079
687dc537,31801124,54460050.0,42.1805632,-72.64320183,1234,1691
46ab8d86,31804846,40487777.0,42.1820883,-72.64364355,1297,934
36cf6e96,31801113,90974782.0,42.18054045,-72.6436813,1215,1304
6680db42,31802631,54459975.0,42.18028015,-72.64322249,1107,0
17f9030a,31809073,40474226.0,42.1818943,-72.64304011,1338,1727
8c56d780,31801126,49768651.0,42.180774,-72.64321704,1059,0
40669cf0,31806119,46301596.0,42.18157825,-72.64367227,1465,1480
31f5397d,31804845,46295518.0,42.18182505,-72.64365135,1355,1110
2a5e6aa2,31744876,,42.205278,-72.629252,1212,0
0118f65f,31042166,46301222.0,42.20662071,-72.6285124,1281,899
863172f4,31042215,,42.20586705,-72.62881234,1226,951
a64788cb,31042214,54363203.0,42.20656904,-72.62873314,1309,863
603f5d8e,20376716,90114452.0,42.20558505,-72.62887715,1351,1885
43c5b55b,31804502,49755717.0,42.20673754,-72.62851298,1265,846
d291ee7d,31042201,46302124.0,42.20647467,-72.62851167,1281,899
d3b70c46,31801122,35548982.0,42.20668349,-72.62873371,1467,634
e35ae366,31048292,46335200.0,42.20524793,-72.62959438,1263,0
e1c934cb,31801148,49761237.0,42.20674071,-72.628734,1467,634
f8395424,20377589,49755777.0,42.20644546,-72.62851152,1252,916
efe2ce13,31042225,35567560.0,42.20662627,-72.62873343,1467,634
e5e9ee0d,83779568,,42.1995163,-72.61658525,1381,9990
92385009,18195556,46300170.0,42.189731,-72.631421,1442,1110
024cad93,56288859,54356222.0,42.2047075,-72.59984556,1375,1427
caf31495,20376019,54458128.0,42.2047075,-72.59984556,0,0
571af134,20376018,49767203.0,42.2047075,-72.59984556,0,0
e912d342,56288856,54457993.0,42.2047075,-72.59984556,0,0
e0038fe5,31803429,90974750.0,42.21921983,-72.62956306,1169,0
716ad9d2,56439349,,42.22029222,-72.629587,1434,2061
47a5aa18,83779447,35051752.0,42.1678609,-72.6412018,0,0
47a5aa18,83779372,,42.1678609,-72.6412018,0,0
47a5aa18,83779565,56754531.0,42.1678609,-72.6412018,0,0
250d9e85,83779352,,42.19614255,-72.6105054,1455,30814
250d9e85,16697422,,42.19614255,-72.6105054,0,0
e8daa1ee,83769782,54363647.0,42.22318925,-72.62884224,1409,2167
315d5e4c,29398338,,42.18661073,-72.625161,1476,4739
9b41e5eb,20380962,92351332.0,42.19693549,-72.68732074,1258,1920
9b41e5eb,20380962,94746150.0,42.19693549,-72.68732074,0,0
46c9ed9f,20379602,35612125.0,42.19725885,-72.68664629,1415,1550
17f66184,20380380,35567077.0,42.19722325,-72.68605259,1438,1920
8d0114e9,20380957,35590095.0,42.1967427,-72.68671763,1114,0
924697f6,20380968,97048905.0,42.197102,-72.68722155,1277,1744
4061967b,30129165,34348994.0,42.20501785,-72.61445765,1403,705
4dd46c96,31806380,46301289.0,42.1958103,-72.62359045,1415,335
1321f878,83779298,,42.19880755,-72.59910302,1406,46777
1321f878,83779600,92337625.0,42.19880755,-72.59910302,0,0
243f749a,31804737,33466503.0,42.228351,-72.62969676,1287,2220
01370d30,31804750,46302300.0,42.22698402,-72.62898783,1455,775
f6d6006c,30527411,,42.22830765,-72.62868075,1451,1233
6a8c8415,31045003,46300666.0,42.22807645,-72.62892949,1437,1022
fc28fd60,31806496,40474600.0,42.22707401,-72.62898061,1455,775
139b3589,30340810,51962167.0,42.21450935,-72.64104004,1171,1903
727451fa,18198253,35569734.0,42.21506795,-72.64192846,1291,3066
15bf3d88,18198252,56365757.0,42.2147664,-72.64108541,1438,1691
ef660a48,83779486,90008318.0,42.1735854,-72.6470293,1397,25089
ef660a48,83779487,90008323.0,42.1735854,-72.6470293,0,0
e3667a38,31804319,56356901.0,42.18579405,-72.64360771,1468,1409
605578cb,31801673,33440143.0,42.18585493,-72.64323259,1357,2220
fd7ab161,20380272,90974672.0,42.1863279,-72.64358549,1460,1480
05e7052a,18195884,46334944.0,42.18493565,-72.64360611,1182,0
96edc40b,20380273,46300201.0,42.1868559,-72.64303654,1464,1762
bda58908,31804307,94746172.0,42.1871102,-72.64323306,1440,2008
386b942b,31804906,49769497.0,42.1857834,-72.64308671,1357,2220
9dbe652e,31804905,46264416.0,42.1854762,-72.64306257,1441,2167
09448eca,31804320,54356435.0,42.1863469,-72.64306755,1357,1709
e70b16be,31804856,40474494.0,42.18522736,-72.64346552,1292,863
3c80fda5,20380271,40488493.0,42.18636953,-72.64321148,1357,1709
83f9303c,20380256,35562533.0,42.1865687,-72.64360492,1420,1374
44c7522d,31801642,35612175.0,42.1859888,-72.64360855,1323,1903
5e886b64,31051304,40474531.0,42.18493525,-72.6429754,1413,2449
73c803a9,18195894,33418824.0,42.18642502,-72.64343122,1460,1480
4ce29bec,20381133,,42.2177776,-72.66743358,1330,3365
68037ffc,56763242,90971921.0,42.19163005,-72.62630893,1449,916
de42dec2,20380245,40474861.0,42.1911349,-72.62607324,1412,863
c6f065a2,83771685,,42.2095897,-72.59947021,1433,15627
4b9ca1d4,31803276,40475243.0,42.22433175,-72.64105784,1449,1022
5328b6e6,55969052,54458017.0,42.22428285,-72.64142968,1416,1216
70d9d8a2,11571340,46346186.0,42.2239304,-72.64062325,1440,1603
3a27e454,11571338,,42.22389815,-72.64163593,1350,1075
13cf76de,18039262,56356766.0,42.22433,-72.64064165,1408,916
85f6823b,11525109,35568884.0,42.2239205,-72.64132251,1450,1216
d5b03593,11525160,,42.2239284,-72.64093006,1465,1568
c52bb082,31804215,40474200.0,42.2057775,-72.61932128,1445,1515
0abf1ead,31031017,46264023.0,42.20603067,-72.61932009,1469,722
5b5d54fb,31804367,46302254.0,42.2050069,-72.62013741,1235,1110
5f2e7f80,31805091,46335348.0,42.20584029,-72.61843786,1428,1004
780b51b1,85116772,,42.2048485,-72.6195923,1259,0
46c13271,31801312,49767681.0,42.20454256,-72.620799,1363,951
edc329f1,31801313,49756114.0,42.20563472,-72.61971116,1423,1321
094cec27,31805078,,42.20570757,-72.61856371,1418,1233
21af6c36,31804374,54356311.0,42.204792,-72.6205515,1460,1445
8dd2ed4b,20378843,46335021.0,42.21845715,-72.62588006,1272,1621
88c17ce5,57529715,90971675.0,42.21882082,-72.62474181,1451,1498
93cfe218,57529713,49755976.0,42.2189553,-72.62535434,1483,1568
ab982207,57531716,49761311.0,42.2189273,-72.62477721,1451,1498
eaaab85b,31804882,,42.2086429,-72.61170273,1381,1198
192d3efb,31801065,,42.22232301,-72.62190869,1365,1039
8cb6f392,57554318,40475202.0,42.2227761,-72.62242336,1403,1163
5cc5b136,31806359,33418603.0,42.2225276,-72.6232748,1305,1022
fb4a4754,52062207,92337555.0,42.22215133,-72.62207806,1476,1357
78cb085f,57553361,49756322.0,42.2230849,-72.62332883,1450,1145
af96ebaf,31801069,90974869.0,42.22245205,-72.6227505,1504,1938
76c3d1dc,57554346,46334440.0,42.22234365,-72.62347675,1439,1180
8dd9ba0e,57553321,40475246.0,42.222827,-72.623219,1316,810
0baff45d,57553385,49755632.0,42.22291922,-72.62156733,1484,758
6f66a229,30727024,92334877.0,42.22231738,-72.6220866,1306,969
c7f44728,57533232,46302329.0,42.22215496,-72.62196335,1476,1357
e5886e05,57059982,90971867.0,42.2227327,-72.62288338,1317,758
8b1432ce,30524871,46302322.0,42.22291396,-72.62171677,1484,758
b37dab6a,83779327,34810922.0,42.16975305,-72.63488031,0,0
b37dab6a,83779485,92337618.0,42.16975305,-72.63488031,0,0
534c2a60,21584940,,42.20888325,-72.63087875,1338,1779
8c40ffe2,30387855,35567534.0,42.2139529,-72.62006547,1466,1286
3d6705e8,77133735,90971759.0,42.20932035,-72.61720205,1385,11522
96073645,31803430,,42.2175091,-72.63046677,1375,10677
bab8e5bc,52062258,40489940.0,42.2165118,-72.63145566,1405,2149
8ed6435b,52062042,56354505.0,42.21648595,-72.62962921,1208,2343
32c70da1,18195573,,42.2164751,-72.63040474,1440,2519
32c70da1,31043117,40488630.0,42.2164751,-72.63040474,0,0
bb22525f,52061942,90953569.0,42.21645035,-72.63076366,1355,2572
bc24d947,31804978,90953542.0,42.2164618,-72.6311102,1453,1956
82b368bb,30726965,94746339.0,42.1884537,-72.62507894,1349,493
999e7fe2,5827413,40487975.0,42.189016,-72.624473,1396,687
75290779,5827431,90971441.0,42.1890377,-72.62459554,1396,687
1e16f11d,85116741,,42.1883597,-72.6252809,1246,2713
03f1d7fa,56505913,,42.18879571,-72.62464718,1384,899
d7514804,56505911,56356370.0,42.18882,-72.624623,1384,899
c8cd1e93,11566755,,42.18849885,-72.62424205,1354,793
833f123f,83771668,,42.2013164,-72.61030665,1414,3312
fc8cb7e3,26878926,,42.20106387,-72.60915135,0,0
fc8cb7e3,55727084,,42.20106387,-72.60915135,0,0
fc8cb7e3,20119870,92337658.0,42.20106387,-72.60915135,0,0
fc8cb7e3,16697445,,42.20106387,-72.60915135,0,0
fc8cb7e3,55728106,,42.20106387,-72.60915135,0,0
fc8cb7e3,83779524,93277878.0,42.20106387,-72.60915135,0,0
fc8cb7e3,83779524,56754558.0,42.20106387,-72.60915135,0,0
fc8cb7e3,83779633,,42.20106387,-72.60915135,0,0
b52b2ab0,18195644,,42.18294685,-72.63782785,1431,1233
fe312d81,18039226,46301138.0,42.1831727,-72.63764414,1367,1639
13d85cb8,56506711,46295482.0,42.17608299,-72.63148391,1251,1180
ad17ec75,20376922,49755729.0,42.1751392,-72.63210456,1230,0
9b79274a,56506699,35609133.0,42.17551035,-72.6315437,944,0
8aa67b90,56506712,33418904.0,42.1758513,-72.63194205,1147,0
db5e5d62,56505907,,42.1760922,-72.63187009,1122,0
14f1467f,31806312,40472162.0,42.17528265,-72.63159014,1111,0
6ebfe16f,83779417,90971749.0,42.26330134,-72.60826443,1485,5532
110fe270,20380221,,42.1956863,-72.64294764,1415,1498
b1a425d7,20376752,,42.19545895,-72.64295512,1308,1850
1a1541ba,31805862,,42.19463655,-72.64291111,1323,1462
b2f6cd8b,20378313,,42.1948913,-72.64302356,1403,881
3082015a,83769485,94746309.0,42.19526115,-72.64345754,1421,2238
04e4d477,31805858,33464861.0,42.1948142,-72.64340819,1287,1991
1e9e5f74,20380208,94746241.0,42.19548855,-72.64353611,1470,2414
2106025d,20376060,33466597.0,42.19864529,-72.64426324,1404,1145
b79fb835,20377643,40488082.0,42.1988789,-72.64544975,1504,1163
2ba90df6,57057500,90974797.0,42.19864594,-72.64428085,1404,1145
4dd0c8c3,20377704,90972075.0,42.19848027,-72.64428869,1374,951
938f6bf6,20377638,35567476.0,42.19840515,-72.64551215,1333,1039
c8531b71,20378240,40488446.0,42.19864465,-72.64424562,1404,1145
2958f458,20377709,40474611.0,42.19848018,-72.64427046,1374,951
bd9fe20f,20378220,35612306.0,42.19848009,-72.64425223,1374,951
52bdc8a4,20377641,33418214.0,42.1985983,-72.64578407,1313,1639
9180f7dc,83771917,,42.19489329,-72.61209257,1401,581
24501c0b,83769729,,42.21065875,-72.66618456,914,0
0df4da74,83769728,,42.21012885,-72.66666933,1213,2008
f8e1860c,31044990,,42.2103976,-72.6665541,1132,0
5e15e87d,29924850,33418890.0,42.2206414,-72.63813356,1162,0
0037acfd,29924858,49760324.0,42.220135,-72.63837288,1187,1374
a571e587,57553415,33466272.0,42.21998435,-72.63747836,1301,1603
43d6c428,11571368,33466510.0,42.22031855,-72.63778253,1193,2643
1a96a7fd,31801875,54354670.0,42.2208902,-72.63834268,990,0
f38b6858,31801878,56354749.0,42.21981095,-72.63802652,1278,1304
77e5c68b,20106561,52197002.0,42.2123577,-72.62992638,1481,3154
77e5c68b,83779517,56809538.0,42.2123577,-72.62992638,0,0
6e1c1952,83771892,90959375.0,42.20625445,-72.63111045,1357,2026
da0fe1ba,31772639,40474353.0,42.20594484,-72.6306671,1375,1057
50f2e27a,31042179,,42.2014586,-72.67102298,1191,1903
98ac81a1,31042158,,42.20240535,-72.66913234,1508,3048
7edbe29c,18204375,40489591.0,42.19862961,-72.63121614,1168,0
5c5e1afd,31802011,,42.20842855,-72.63091209,1512,863
1f2bef96,56439338,,42.20697465,-72.61406825,1381,1533
297aa3dc,29619013,,42.20682367,-72.61450685,1360,863
c62006fe,56764325,54460456.0,42.20652575,-72.613705,1356,1762
c22fefaa,31800947,46335344.0,42.20692978,-72.61440057,1411,1039
67741535,52173884,46363625.0,42.26225085,-72.60939529,1243,0
67741535,83770403,,42.26225085,-72.60939529,0,0
67741535,57532863,,42.26225085,-72.60939529,0,0
67741535,57533168,,42.26225085,-72.60939529,0,0
67741535,57532868,54472148.0,42.26225085,-72.60939529,0,0
67741535,57532950,,42.26225085,-72.60939529,0,0
9cb74aae,31806453,,42.17866604,-72.65048544,1520,1251
0a24f672,31806367,,42.1786502,-72.65069356,1475,2414
c97c5992,31804752,,42.17866208,-72.65053747,1520,1251
77eb9fe1,31804753,92337622.0,42.1786568,-72.65060685,1520,1251
c71d8ba5,31804731,92337486.0,42.17865152,-72.65067622,1475,2414
91a54b0c,52061764,,42.21412555,-72.62824196,1493,1022
7202dc41,30729225,56354238.0,42.21413818,-72.62807721,1444,1744
2fb8d30f,31802164,92337981.0,42.21435875,-72.62861185,1385,1110
988d0131,52061972,49768729.0,42.21389389,-72.62934056,1458,899
